,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,23400.0,0.0,0.0,True,0,0,0.03388643264770508
1,24600.0,12.0,11.46,False,0,0,0.043827056884765625
2,25700.0,23.0,22.92,False,0,0,0.054833173751831055
3,26900.0,35.0,34.38,False,0,0,0.06281661987304688
4,28000.0,46.0,45.84,False,0,0,0.07338738441467285
5,29200.0,58.0,57.3,False,0,0,0.08236193656921387
6,30300.0,69.0,68.76,False,0,0,0.09528803825378418
7,31500.0,81.0,80.22,False,0,0,0.11423683166503906
8,32600.0,92.0,91.68,False,0,0,0.1291956901550293
9,33800.0,104.0,103.14,False,0,0,0.1401677131652832
10,34900.0,115.0,114.6,False,0,0,0.14914369583129883
11,36100.0,127.0,126.06,False,0,0,0.16210722923278809
12,37200.0,138.0,137.52,False,0,0,0.17706918716430664
13,38300.0,149.0,148.98,False,0,0,0.19402194023132324
14,39500.0,161.0,160.44,False,0,0,0.2059948444366455
15,40600.0,172.0,171.9,False,0,0,0.2149658203125
16,41800.0,184.0,183.36,False,0,0,0.22992587089538574
17,42900.0,195.0,194.82,False,0,0,0.24089789390563965
18,44100.0,207.0,206.28,False,0,0,0.24987268447875977
19,45200.0,218.0,217.74,False,0,0,0.2598459720611572
20,46400.0,230.0,229.2,False,0,0,0.26882505416870117
21,47500.0,241.0,240.66,False,0,0,0.27979516983032227
22,49910.0,253.0,252.12,False,0,0,0.36556577682495117
23,51610.0,264.0,263.58,False,0,0,0.3855125904083252
24,54010.0,276.0,275.04,False,0,0,0.4074540138244629
25,56310.0,287.0,286.5,False,0,0,0.4623086452484131
26,58610.0,298.0,297.96,False,0,0,0.5264706611633301
27,61010.0,310.0,309.42,False,0,0,0.5878286361694336
28,63310.0,321.0,320.88,False,0,0,0.7188029289245605
29,65710.0,333.0,332.34,False,0,0,0.814054012298584
30,68010.0,344.0,343.8,False,0,0,0.9018189907073975
31,70410.0,356.0,355.26,False,0,0,1.0075361728668213
32,72710.0,367.0,366.72,False,0,0,1.0933072566986084
33,75110.0,379.0,378.18,False,0,0,1.2139852046966553
34,76800.0,390.0,389.64,False,0,0,1.2249624729156494
35,79210.0,402.0,401.1,False,0,0,1.252892017364502
36,81500.0,413.0,412.56,False,0,0,1.266843318939209
37,83910.0,425.0,424.02,False,0,0,1.3087308406829834
38,86200.0,436.0,435.48,False,0,0,1.324688196182251
39,88510.0,447.0,446.94,False,0,0,1.5900232791900635
40,90900.0,459.0,458.4,False,0,0,1.6129639148712158
41,93210.0,470.0,469.86,False,0,0,1.7236759662628174
42,95600.0,482.0,481.32,False,0,0,1.7905025482177734
43,97910.0,493.0,492.78,False,0,0,1.8772804737091064
44,100300.0,505.0,504.24,False,0,0,1.9012744426727295
45,102010.0,516.0,515.7,False,0,0,1.9301819801330566
46,104410.0,528.0,527.16,False,0,0,1.944145679473877
47,106710.0,539.0,538.62,False,0,0,1.960113286972046
48,109110.0,551.0,550.08,False,0,0,1.9950194358825684
49,111410.0,562.0,561.54,False,0,0,2.014413595199585
50,113710.0,573.0,573.0,True,0,0,2.180171012878418
51,116110.0,585.0,584.46,False,0,0,2.34070086479187
52,118410.0,596.0,595.92,False,0,0,2.43295955657959
53,120810.0,608.0,607.38,False,0,0,2.556168556213379
54,123110.0,619.0,618.84,False,0,0,2.6558709144592285
