,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,1685.0,28.0,28.0,True,0,0,0.029408693313598633
1,3600.0,232.0,232.0,True,0,0,0.045065879821777344
2,5645.000000000001,436.00000000000006,436.0,False,0,0,0.07631611824035645
3,7680.0,640.0,640.0,True,0,0,0.09189462661743164
4,16205.000000000002,844.0000000000001,844.0,False,0,0,0.10751628875732422
5,36605.0,1048.0,1048.0,True,0,0,0.123138427734375
6,57005.0,1252.0,1252.0,True,0,0,0.15438175201416016
7,5915.0,32.0,32.0,True,0,1,0.1856226921081543
8,7165.0,170.0,166.0,False,0,1,0.27935075759887695
9,8465.0,302.0,300.0,False,0,1,0.294971227645874
10,16805.0,434.0,434.0,True,0,1,0.3262152671813965
11,30205.0,568.0,568.0,True,0,1,0.34184956550598145
12,43605.0,702.0,702.0,True,0,1,0.35745716094970703
13,57005.0,836.0,836.0,True,0,1,0.37311744689941406
14,7230.0,79.0,79.0,True,0,2,0.40436673164367676
15,8290.0,199.0,194.0,False,0,2,0.5166406631469727
16,11055.0,309.0,309.0,True,0,2,0.5322606563568115
17,22505.0,424.0,424.0,True,0,2,0.5478823184967041
18,34005.0,539.0,539.0,True,0,2,0.5635416507720947
19,45504.99999999999,653.9999999999984,654.0,False,0,2,0.5791244506835938
20,57005.0,769.0,769.0,True,0,2,0.5948069095611572
21,2975.0,10.0,10.0,True,1,0,0.046802520751953125
22,4744.999999999995,195.99999999999963,192.0,False,1,0,0.13238739967346191
23,6545.0,376.0,374.0,False,1,0,0.1812593936920166
24,8345.0,556.0,556.0,True,1,0,0.22214913368225098
25,20605.0,738.0,738.0,True,1,0,0.24907708168029785
26,38805.0,920.0,920.0,True,1,0,0.29595160484313965
27,57005.0,1102.0,1102.0,True,1,0,0.31290626525878906
28,3475.0,51.0,51.0,True,1,1,0.3448209762573242
29,5100.0,231.0,227.0,False,1,1,0.49779176712036133
30,6785.0,404.99999999999983,403.0,False,1,1,0.5290348529815674
31,8525.0,579.0,579.0,True,1,1,0.560276985168457
32,21805.0,755.0,755.0,True,1,1,0.5758979320526123
33,39405.0,931.0,931.0,True,1,1,0.591519832611084
34,57005.0,1107.0,1107.0,True,1,1,0.6071405410766602
35,5415.0,60.0,60.0,True,1,2,0.6383833885192871
36,6765.0,209.99999999999997,206.0,False,1,2,0.6696267127990723
37,8085.0,354.0,352.0,False,1,2,0.7477338314056396
38,13204.999999999969,497.99999999999966,498.0,False,1,2,0.7633562088012695
39,27805.0,644.0,644.0,True,1,2,0.7789797782897949
40,42404.999999999985,789.9999999999998,790.0,False,1,2,0.794597864151001
41,57010.0,936.0,936.0,True,1,2,0.8102595806121826
42,2915.0,24.0,24.0,True,2,0,0.031247615814208984
43,4625.0,210.0,208.0,False,2,0,0.06244850158691406
44,6479.999999999999,395.99999999999994,392.0,False,2,0,0.14055371284484863
45,8285.0,576.0,576.0,True,2,0,0.1561727523803711
46,20205.0,760.0,760.0,True,2,0,0.17182588577270508
47,38605.0,944.0,944.0,True,2,0,0.20306682586669922
48,57004.99999999999,1128.0,1128.0,True,2,0,0.2187027931213379
49,4470.0,25.0,25.0,True,2,1,0.26232218742370605
50,5910.0,187.0,185.0,False,2,1,0.33413076400756836
51,7440.0,349.0,345.0,False,2,1,0.44357872009277344
52,9005.0,505.0,505.0,True,2,1,0.45920252799987793
53,25005.0,665.0,665.0,True,2,1,0.4748210906982422
54,41005.0,825.0,825.0,True,2,1,0.49044227600097656
55,57005.0,985.0,985.0,True,2,1,0.5216848850250244
56,8570.0,34.0,34.0,True,2,2,0.5529263019561768
57,9355.0,130.0,130.0,True,2,2,0.568549394607544
58,18670.0,226.0,226.0,True,2,2,0.5841689109802246
59,28239.999999999945,321.99999999999943,322.0,False,2,2,0.5998032093048096
60,37839.99999999994,417.99999999999943,418.0,False,2,2,0.615412712097168
61,47440.0,514.0,514.0,True,2,2,0.6310470104217529
62,57039.99999999995,609.9999999999995,610.0,False,2,2,0.6466574668884277
63,2250.0,5.999999999999998,6.0,False,3,0,0.031239748001098633
64,4145.0,204.0,200.0,False,3,0,0.1249685287475586
65,6065.0,396.0,394.0,False,3,0,0.171830415725708
66,7985.0,588.0,588.0,True,3,0,0.18745183944702148
67,18204.999999999964,781.9999999999997,782.0,False,3,0,0.21869421005249023
68,37605.0,976.0,976.0,True,3,0,0.23431658744812012
69,57005.0,1170.0,1170.0,True,3,0,0.2499375343322754
70,6580.0,49.00000000000001,49.0,False,3,1,0.28117990493774414
71,7675.0,175.00000000000003,174.0,False,3,1,0.2968008518218994
72,8845.0,301.0,299.0,False,3,1,0.312422513961792
73,19505.0,424.0,424.0,True,3,1,0.32804417610168457
74,32005.0,549.0,549.0,True,3,1,0.3592863082885742
75,44505.0,674.0,674.0,True,3,1,0.3749074935913086
76,57005.0,799.0,799.0,True,3,1,0.39052867889404297
77,8560.0,75.0,75.0,True,3,2,0.4217710494995117
78,9360.0,171.0,171.0,True,3,2,0.4373929500579834
79,18680.0,267.0,267.0,True,3,2,0.4373929500579834
80,28255.0,363.0,363.0,True,3,2,0.4530141353607178
81,37855.0,459.0,459.0,True,3,2,0.46863555908203125
82,47455.0,555.0,555.0,True,3,2,0.4842562675476074
83,57055.0,651.0,651.0,True,3,2,0.4998781681060791
84,2730.0,34.0,34.0,True,4,0,0.03124260902404785
85,4505.0,220.0,220.0,True,4,0,0.0624852180480957
86,6365.0,406.0,406.0,True,4,0,0.07810711860656738
87,8225.0,592.0,592.0,True,4,0,0.1069941520690918
88,19805.0,778.0,778.0,True,4,0,0.12694120407104492
89,38405.0,964.0,964.0,True,4,0,0.16184782981872559
90,57005.0,1150.0,1150.0,True,4,0,0.19077062606811523
91,6455.0,52.0,52.0,True,4,1,0.25958991050720215
92,7555.0,178.0,178.0,True,4,1,0.2835233211517334
93,8765.0,304.0,304.0,True,4,1,0.3144402503967285
94,19205.0,430.0,430.0,True,4,1,0.3433709144592285
95,31805.0,556.0,556.0,True,4,1,0.4231531620025635
96,44405.0,682.0,682.0,True,4,1,0.4680297374725342
97,57004.99999999999,808.0,808.0,True,4,1,0.4849846363067627
98,8055.0,82.0,82.0,True,4,2,0.5188939571380615
99,8925.0,184.0,184.0,True,4,2,0.5298659801483154
100,16215.0,286.0,286.0,True,4,2,0.542830228805542
101,26405.0,388.0,388.0,True,4,2,0.561779260635376
102,36605.0,490.0,490.0,True,4,2,0.5817270278930664
103,46805.0,592.0,592.0,True,4,2,0.5996780395507812
104,57005.0,694.0,694.0,True,4,2,0.6166326999664307
105,2160.0,24.0,24.0,True,5,0,0.034906625747680664
106,4025.0,222.0,220.0,False,5,0,0.06781888008117676
107,6000.0,420.0,416.0,False,5,0,0.1386277675628662
108,7920.0,612.0,612.0,True,5,0,0.15059614181518555
109,17804.99999999999,807.9999999999999,808.0,False,5,0,0.17253780364990234
110,37405.0,1004.0,1004.0,True,5,0,0.20844292640686035
111,57005.0,1200.0,1200.0,True,5,0,0.23138117790222168
112,6280.0,33.0,33.0,True,5,1,0.26329469680786133
113,7435.0,165.0,162.0,False,5,1,0.3530559539794922
114,8640.0,291.0,291.0,True,5,1,0.3640272617340088
115,18305.0,420.0,420.0,True,5,1,0.3789865970611572
116,31205.0,549.0,549.0,True,5,1,0.39893412590026855
117,44105.0,678.0000000000002,678.0,False,5,1,0.4198777675628662
118,57005.0,807.0,807.0,True,5,1,0.433840274810791
119,9045.0,71.0,71.0,True,5,2,0.4717423915863037
120,15030.0,155.0,155.0,True,5,2,0.4886972904205322
121,23405.0,239.0,239.0,True,5,2,0.5156590938568115
122,31805.0,323.0,323.0,True,5,2,0.5485577583312988
123,40205.0,407.0,407.0,True,5,2,0.5754599571228027
124,48605.0,491.0,491.0,True,5,2,0.6023876667022705
125,57005.0,575.0,575.0,True,5,2,0.6213376522064209
126,3125.0,29.0,29.0,True,6,0,0.03795742988586426
127,4865.0,209.0,208.0,False,6,0,0.10044336318969727
128,6665.0,389.0,387.0,False,6,0,0.13168644905090332
129,8465.0,569.0,566.0,False,6,0,1.0437185764312744
130,21204.999999999975,744.9999999999997,745.0,False,6,0,1.0746359825134277
131,39105.0,924.0,924.0,True,6,0,1.202293872833252
132,57005.0,1103.0,1103.0,True,6,0,1.222240686416626
133,4440.0,34.0,34.0,True,6,1,1.256150722503662
134,5945.0,196.0,192.0,False,6,1,1.4546198844909668
135,7505.000000000001,352.0000000000014,350.0,False,6,1,1.5294196605682373
136,9605.0,508.0,508.0,True,6,1,1.557344913482666
137,25405.0,666.0,666.0,True,6,1,1.597238302230835
138,41205.0,824.0,824.0,True,6,1,1.6181821823120117
139,57005.0,982.0,982.0,True,6,1,1.6421184539794922
140,24080.0,0.0,0.0,True,6,2,1.6869986057281494
141,29490.0,56.0,55.333333333333336,False,6,2,1.7039530277252197
142,34990.0,111.0,110.66666666666667,False,6,2,1.7199106216430664
143,40490.0,166.0,166.0,True,6,2,1.7369053363800049
144,46090.0,222.0,221.33333333333334,False,6,2,1.7528281211853027
145,51590.0,277.0,276.6666666666667,False,6,2,1.7677843570709229
146,57090.0,332.0,332.0,True,6,2,1.7837402820587158
147,2185.0,28.0,28.0,True,7,0,0.04587697982788086
148,4080.0,226.0,223.0,False,7,0,0.2722740173339844
149,6000.0,418.0,418.0,True,7,0,0.2872335910797119
150,7985.0,616.0,613.0,False,7,0,1.3941102027893066
151,18005.0,808.0,808.0,True,7,0,1.4290173053741455
152,37505.0,1003.0,1003.0,True,7,0,1.4748938083648682
153,57005.0,1198.0,1198.0,True,7,0,1.4958381652832031
154,3425.0,39.0,39.0,True,7,1,1.5397207736968994
155,5070.0,219.0,215.0,False,7,1,1.6304781436920166
156,6785.0,393.0,391.0,False,7,1,1.6763558387756348
157,8525.0,567.0,567.0,True,7,1,1.719240665435791
158,21804.999999999978,742.9999999999998,743.0,False,7,1,1.7411832809448242
159,39405.0,919.0,919.0,True,7,1,1.7631652355194092
160,57005.0,1095.0,1095.0,True,7,1,1.788097620010376
161,6345.0,72.0,72.0,True,7,2,1.8279500007629395
162,7490.0,204.0,201.0,False,7,2,1.9386537075042725
163,8685.0,330.0,330.0,True,7,2,1.9526610374450684
164,18305.0,459.0,459.0,True,7,2,1.9725654125213623
165,31205.0,588.0,588.0,True,7,2,2.0045015811920166
166,44105.0,717.0,717.0,True,7,2,2.0254578590393066
167,57005.0,846.0,846.0,True,7,2,2.044405460357666
168,3115.0,25.0,25.0,True,8,0,0.06579208374023438
169,4800.0,205.00000000000003,205.0,False,8,0,0.08873200416564941
170,6605.0,385.0,385.0,True,8,0,0.13560938835144043
171,8400.0,565.0,565.0,True,8,0,0.15060043334960938
172,21005.0,745.0,745.0,True,8,0,0.20043158531188965
173,39005.0,925.0,925.0,True,8,0,0.2512948513031006
174,57005.0,1105.0,1105.0,True,8,0,0.2692866325378418
175,4785.0,20.0,20.0,True,8,1,0.31113505363464355
176,6175.0,176.0,174.0,False,8,1,0.34404611587524414
177,7680.0,331.99999999999994,328.0,False,8,1,0.455747127532959
178,10805.0,482.0,482.0,True,8,1,0.4837076663970947
179,26205.0,636.0,636.0,True,8,1,0.5036194324493408
180,41604.999999999985,789.9999999999998,790.0,False,8,1,0.5445547103881836
181,57005.0,944.0,944.0,True,8,1,0.5644576549530029
182,8090.0,96.0,96.0,True,8,2,0.60335373878479
183,8965.0,198.0,198.0,True,8,2,0.6203522682189941
184,16210.0,300.0,300.0,True,8,2,0.6333189010620117
