,Cost,Redundant,epsilon,binding(1),sample,scenario,Time(sec)
0,1780.0,28.0,28.0,True,0,0,0.04689288139343262
1,5760.0,436.0,432.0,False,0,0,0.12208914756774902
2,16605.0,836.0,836.0,True,0,0,0.15332984924316406
3,57005.0,1240.0,1240.0,True,0,0,0.16895151138305664
4,6375.0,53.0,53.0,True,0,1,0.20021820068359375
5,8710.0,317.0,313.0,False,0,1,0.45013999938964844
6,31005.0,573.0,573.0,True,0,1,0.4657564163208008
7,57005.0,833.0,833.0,True,0,1,0.48137855529785156
8,8265.0,87.0,87.0,True,0,2,0.5126423835754395
9,17805.0,283.0,283.0,True,0,2,0.5438644886016846
10,37405.0,479.0,479.0,True,0,2,0.5907304286956787
11,57005.0,675.0,675.0,True,0,2,0.6063616275787354
12,2710.0,38.0,38.0,True,1,0,0.03127551078796387
13,6365.0,416.0,412.0,False,1,0,0.10937094688415527
14,19605.0,786.0,786.0,True,1,0,0.14063405990600586
15,57005.0,1160.0,1160.0,True,1,0,0.15624022483825684
16,7090.0,46.0,46.0,True,1,1,0.1874837875366211
17,9860.0,282.0,282.0,True,1,1,0.2030649185180664
18,33405.0,518.0,518.0,True,1,1,0.21868586540222168
19,57005.0,754.0,754.0,True,1,1,0.23436808586120605
20,8435.0,67.0,67.0,True,1,2,0.2811722755432129
21,18605.0,259.0,259.0,True,1,2,0.2967963218688965
22,37805.0,451.0,451.0,True,1,2,0.31244397163391113
23,57005.0,643.0,643.0,True,1,2,0.3280668258666992
24,2970.0,27.0,27.0,True,2,0,0.03125500679016113
25,6545.0,393.0,391.0,False,2,0,0.0780782699584961
26,20605.0,755.0,755.0,True,2,0,0.09369754791259766
27,57005.0,1119.0,1119.0,True,2,0,0.1093592643737793
28,6690.0,58.0,58.0,True,2,1,0.14056062698364258
29,8985.0,310.0,306.0,False,2,1,0.2611837387084961
30,32204.99999999999,553.9999999999999,554.0,False,2,1,0.29418325424194336
31,57005.0,802.0,802.0,True,2,1,0.31244802474975586
32,7730.0,63.0,63.0,True,2,2,0.3458685874938965
33,14210.0,277.0,277.0,True,2,2,0.363461971282959
34,35605.0,491.0,491.0,True,2,2,0.38585996627807617
35,57005.0,705.0,705.0,True,2,2,0.40775251388549805
36,2170.0,11.0,11.0,True,3,0,0.03661608695983887
37,6000.0,401.0,401.0,True,3,0,0.04758930206298828
38,18005.0,791.0000000000001,791.0,False,3,0,0.07267570495605469
39,57004.99999999999,1181.0000000000002,1181.0,False,3,0,0.09027981758117676
40,3790.0,43.0,43.0,True,3,1,0.12360382080078125
41,7025.0,385.0,383.0,False,3,1,0.16138696670532227
42,23005.0,723.0,723.0,True,3,1,0.17249822616577148
43,57005.0,1063.0,1063.0,True,3,1,0.1881711483001709
44,7750.0,45.0,45.0,True,3,2,0.21941041946411133
45,15005.0,255.0,255.0,True,3,2,0.2350292205810547
46,36005.0,465.0,465.0,True,3,2,0.26622772216796875
47,57005.00000000001,675.0000000000002,675.0,False,3,2,0.26622772216796875
48,3025.0,16.0,16.0,True,4,0,0.031240463256835938
49,6545.0,382.0,380.0,False,4,0,0.08211588859558105
50,20605.0,744.0000000000001,744.0,False,4,0,0.09773468971252441
51,57005.0,1108.0,1108.0,True,4,0,0.11336708068847656
52,3235.0,36.0,36.0,True,4,1,0.14459776878356934
53,6605.0,396.0,396.0,True,4,1,0.1758420467376709
54,21005.0,756.0,756.0,True,4,1,0.19146037101745605
55,57010.0,1116.0,1116.0,True,4,1,0.20712041854858398
56,6690.0,23.0,23.0,True,4,2,0.25394630432128906
57,8965.0,275.0,271.0,False,4,2,0.4258241653442383
58,32205.0,519.0,519.0,True,4,2,0.48050856590270996
59,57005.0,767.0,767.0,True,4,2,0.4991929531097412
60,1295.0,13.0,13.0,True,5,0,0.03128218650817871
61,5405.0,433.0,433.0,True,5,0,0.04690146446228027
62,15005.0,853.0,853.0,True,5,0,0.07814335823059082
63,57005.0,1273.0,1273.0,True,5,0,0.09372854232788086
64,4675.0,26.0,26.0,True,5,1,0.1405932903289795
65,7625.0,338.0,336.0,False,5,1,0.17183423042297363
66,26005.0,646.0,646.0,True,5,1,0.1874556541442871
67,57005.0,956.0,956.0,True,5,1,0.20307683944702148
68,8315.0,71.0,71.0,True,5,2,0.23431968688964844
69,19005.0,261.0,261.0,True,5,2,0.2655625343322754
70,38005.0,451.0,451.0,True,5,2,0.2811880111694336
71,57005.000000000015,641.0000000000002,641.0,False,5,2,0.29680490493774414
72,1635.0,28.0,28.0,True,6,0,0.03128337860107422
73,5645.0,442.0,438.0,False,6,0,0.1874704360961914
74,16005.0,848.0,848.0,True,6,0,0.2187042236328125
75,57005.0,1258.0,1258.0,True,6,0,0.23432016372680664
76,7590.0,31.0,31.0,True,6,1,0.2655634880065918
77,13805.0,247.0,247.0,True,6,1,0.29683518409729004
78,35405.0,463.0,463.0,True,6,1,0.3280785083770752
79,57005.0,679.0,679.0,True,6,1,0.3436710834503174
80,11970.0,63.0,63.0,True,6,2,0.374950647354126
81,26770.0,215.0,214.66666666666666,False,6,2,0.374950647354126
82,41970.0,367.0,366.3333333333333,False,6,2,0.4020087718963623
83,57070.0,518.0,518.0,True,6,2,0.41005635261535645
84,1895.0,15.0,15.0,True,7,0,0.03358912467956543
85,5825.0,417.0,415.0,False,7,0,0.08045387268066406
86,17005.0,815.0,815.0,True,7,0,0.1117391586303711
87,57005.0,1215.0,1215.0,True,7,0,0.1273188591003418
88,6235.0,69.0,69.0,True,7,1,0.1585850715637207
89,8640.0,333.0,329.0,False,7,1,0.28353285789489746
90,31005.0,589.0,589.0,True,7,1,0.33043789863586426
91,57005.0,849.0,849.0,True,7,1,0.33043789863586426
92,12630.0,45.0,45.0,True,7,2,0.3772602081298828
93,27285.0,195.0,194.33333333333334,False,7,2,0.3772602081298828
94,42185.0,344.0,343.6666666666667,False,7,2,0.3928961753845215
95,57085.0,493.0,493.0,True,7,2,0.40850234031677246
96,1910.0,11.0,11.0,True,8,0,0.031282663345336914
97,5824.999999999992,412.9999999999991,411.0,False,8,0,0.09372806549072266
98,17005.0,811.0,811.0,True,8,0,0.10935020446777344
99,57005.0,1211.0,1211.0,True,8,0,0.12501049041748047
100,3785.0,46.0,46.0,True,8,1,0.15621471405029297
101,7000.0,394.0,390.0,False,8,1,0.2811858654022217
102,22605.0,734.0,734.0,True,8,1,0.29683589935302734
103,57005.0,1078.0,1078.0,True,8,1,0.31246089935302734
104,9465.0,79.0,79.0,True,8,2,0.34371304512023926
105,25035.0,239.0,239.0,True,8,2,0.35932326316833496
106,41035.0,399.0,399.0,True,8,2,0.3749415874481201
107,57040.0,559.0,559.0,True,8,2,0.3905329704284668
108,2795.0,13.0,13.0,True,9,0,0.03129220008850098
109,6425.0,385.0,383.0,False,9,0,0.0624849796295166
110,20005.0,753.0,753.0,True,9,0,0.10934996604919434
111,57005.0,1123.0,1123.0,True,9,0,0.12501764297485352
112,5115.0,34.0,34.0,True,9,1,0.15623927116394043
113,7920.0,333.99999999999994,330.0,False,9,1,0.24994945526123047
114,27405.0,626.0,626.0,True,9,1,0.2811851501464844
115,57005.0,922.0,922.0,True,9,1,0.29680705070495605
116,5175.0,67.0,67.0,True,9,2,0.343672513961792
117,7980.0,373.0,371.0,False,9,2,0.343672513961792
118,26605.0,675.0,675.0,True,9,2,0.3749547004699707
119,57010.0,979.0,979.0,True,9,2,0.3905668258666992
120,2550.0,20.0,20.0,True,10,0,0.031248092651367188
121,6240.0,398.0,398.0,True,10,0,0.05718851089477539
122,19205.0,776.0,776.0,True,10,0,0.082122802734375
123,57005.0,1154.0,1154.0,True,10,0,0.09014725685119629
124,3480.0,27.0,27.0,True,10,1,0.12139081954956055
125,6845.0,381.0,377.0,False,10,1,0.21512293815612793
126,22005.0,727.0,727.0,True,10,1,0.23074078559875488
127,57005.0,1077.0,1077.0,True,10,1,0.24636197090148926
128,5970.0,70.0,70.0,True,10,2,0.2776048183441162
129,8470.0,340.0,338.0,False,10,2,0.29326796531677246
130,30205.0,606.0,606.0,True,10,2,0.32449793815612793
131,57010.0,874.0,874.0,True,10,2,0.3401312828063965
132,2100.0,12.0,12.0,True,11,0,0.04685378074645996
133,5944.999999999999,407.99999999999994,406.0,False,11,0,0.09372210502624512
134,17605.0,800.0,800.0,True,11,0,0.12496137619018555
135,57005.0,1194.0,1194.0,True,11,0,0.14058351516723633
136,5850.0,50.0,50.0,True,11,1,0.1717987060546875
137,8400.0,326.0,322.0,False,11,1,0.23427796363830566
138,29805.0,594.0,594.0,True,11,1,0.26554059982299805
139,57010.0,866.0,866.0,True,11,1,0.2811899185180664
140,14305.0,2.0,2.0,True,11,2,0.31243109703063965
141,28405.0,146.0,145.33333333333334,False,11,2,0.32804250717163086
142,42705.0,289.0,288.6666666666667,False,11,2,0.3592514991760254
143,57005.0,432.0,432.0,True,11,2,0.37490057945251465
144,2630.0,37.0,37.0,True,12,0,0.03126025199890137
145,6305.0,415.0,413.0,False,12,0,0.09369874000549316
146,19405.0,789.0,789.0,True,12,0,0.10932064056396484
147,57005.0,1165.0000000000002,1165.0,False,12,0,0.12494134902954102
148,4315.0,21.0,21.0,True,12,1,0.15618681907653809
149,7325.0,345.0,345.0,True,12,1,0.17180585861206055
150,24605.0,669.0,669.0,True,12,1,0.18742799758911133
151,57005.0,993.0,993.0,True,12,1,0.2030501365661621
152,6415.0,49.0,49.0,True,12,2,0.23429155349731445
153,8760.0,313.0,309.0,False,12,2,0.35925984382629395
154,31005.0,569.0,569.0,True,12,2,0.3905055522918701
155,57004.99999999999,829.0000000000003,829.0,False,12,2,0.4061245918273926
156,3435.0,28.0,28.0,True,13,0,0.031244993209838867
157,6844.999999999999,381.99999999999994,378.0,False,13,0,0.140594482421875
158,22005.0,728.0,728.0,True,13,0,0.15621685981750488
159,57005.00000000001,1078.0000000000002,1078.0,False,13,0,0.17183685302734375
160,5125.0,71.0,71.0,True,13,1,0.2030794620513916
161,7885.0,371.0,369.0,False,13,1,0.21870017051696777
162,27205.0,667.0,667.0,True,13,1,0.2655632495880127
163,57005.0,965.0,965.0,True,13,1,0.2811858654022217
164,5125.0,66.0,66.0,True,13,2,0.3124277591705322
165,7935.0,372.0,368.0,False,13,2,0.3905329704284668
166,26805.0,670.0,670.0,True,13,2,0.4061582088470459
167,57010.0,972.0,972.0,True,13,2,0.42177748680114746
168,1835.0,28.0,28.0,True,14,0,0.031241655349731445
169,5759.999999999998,429.99999999999966,430.0,False,14,0,0.04686403274536133
170,16805.0,832.0,832.0,True,14,0,0.0624842643737793
171,57005.0,1234.0,1234.0,True,14,0,0.09372663497924805
172,5835.0,48.0,48.0,True,14,1,0.1250157356262207
173,8400.0,324.0,320.0,False,14,1,0.23431801795959473
174,29805.0,592.0,592.0,True,14,1,0.2499713897705078
175,57005.0,864.0000000000002,864.0,False,14,1,0.2656075954437256
176,6790.0,75.0,75.0,True,14,2,0.29685020446777344
177,9045.0,327.0,327.0,True,14,2,0.3124711513519287
178,31855.0,579.0000000000002,579.0,False,14,2,0.3280937671661377
179,57055.0,831.0,831.0,True,14,2,0.34371280670166016
180,3585.0,37.0,37.0,True,15,0,0.03119826316833496
181,6960.0,385.0,381.0,False,15,0,0.12492585182189941
182,22605.0,725.0,725.0,True,15,0,0.1757216453552246
183,57005.0,1069.0,1069.0,True,15,0,0.19068098068237305
184,5095.0,16.999999999999993,17.0,False,15,1,0.22135329246520996
185,7920.0,316.99999999999994,313.0,False,15,1,0.283801794052124
186,27405.0,609.0000000000002,609.0,False,15,1,0.2994542121887207
187,57005.0,905.0,905.0,True,15,1,0.31506872177124023
188,6260.0,44.0,44.0,True,15,2,0.3462800979614258
189,8680.0,308.0,304.0,False,15,2,0.42438817024230957
190,31005.0,564.0,564.0,True,15,2,0.44000697135925293
191,57010.0,824.0,824.0,True,15,2,0.4556279182434082
192,1995.0,20.0,20.0,True,16,0,0.031243085861206055
193,5885.0,422.0,418.0,False,16,0,0.1405932903289795
194,17205.0,816.0,816.0,True,16,0,0.15621376037597656
195,57004.999999999985,1213.9999999999998,1214.0,False,16,0,0.17183589935302734
196,3400.0,54.0,54.0,True,16,1,0.2030775547027588
197,6785.0,408.0,406.0,False,16,1,0.23432016372680664
198,21805.000000000022,757.9999999999999,758.0,False,16,1,0.24994158744812012
199,57004.99999999997,1109.9999999999998,1110.0,False,16,1,0.2655632495880127
