,Cost,Redundant,Time(sec),sample,scenario,z
0,1250.0,511.0,0.27529478073120117,0.0,0.0,25.0
1,121250.0,1711.0,0.27529478073120117,0.0,0.0,25.0
2,241250.0,2911.0,0.27529478073120117,0.0,0.0,25.0
3,361250.0,4111.0,0.27529478073120117,0.0,0.0,25.0
4,481250.0,5311.0,0.27529478073120117,0.0,0.0,25.0
5,601250.0,6511.0,0.27529478073120117,0.0,0.0,25.0
6,721250.0,7711.0,0.27529478073120117,0.0,0.0,25.0
7,16550.0,6.0,0.27529478073120117,0.0,1.0,65.0
8,132150.0,1182.0,0.27529478073120117,0.0,1.0,25.0
9,249950.0,2360.0,0.27529478073120117,0.0,1.0,25.0
10,367750.0,3538.0,0.27529478073120117,0.0,1.0,25.0
11,485650.0,4717.0,0.27529478073120117,0.0,1.0,25.0
12,603450.0,5895.0,0.27529478073120117,0.0,1.0,25.0
13,721250.0,7073.0,0.27529478073120117,0.0,1.0,25.0
14,59250.0,5.0,0.27529478073120117,0.0,2.0,31.0
15,169350.0,1109.0,0.27529478073120117,0.0,2.0,25.0
16,279750.0,2213.0,0.27529478073120117,0.0,2.0,25.0
17,390150.0,3317.0,0.27529478073120117,0.0,2.0,25.0
18,500550.0,4421.0,0.27529478073120117,0.0,2.0,25.0
19,610950.0,5525.0,0.27529478073120117,0.0,2.0,25.0
20,721250.0,6628.0,0.27529478073120117,0.0,2.0,25.0
21,2150.0,328.0,0.254321813583374,1.0,0.0,41.0
22,122150.0,1528.0,0.254321813583374,1.0,0.0,41.0
23,242150.0,2728.0,0.254321813583374,1.0,0.0,41.0
24,362150.0,3928.0,0.254321813583374,1.0,0.0,41.0
25,482150.0,5128.0,0.254321813583374,1.0,0.0,41.0
26,602150.0,6328.0,0.254321813583374,1.0,0.0,41.0
27,722050.0,7527.0,0.254321813583374,1.0,0.0,41.0
28,33250.0,9.0,0.254321813583374,1.0,1.0,51.0
29,147650.0,1158.0,0.254321813583374,1.0,1.0,41.0
30,262550.0,2307.0,0.254321813583374,1.0,1.0,41.0
31,377450.0,3456.0,0.254321813583374,1.0,1.0,41.0
32,492350.0,4605.0,0.254321813583374,1.0,1.0,41.0
33,607250.0,5754.0,0.254321813583374,1.0,1.0,41.0
34,722050.0,6902.0,0.254321813583374,1.0,1.0,41.0
35,44250.0,26.0,0.254321813583374,1.0,2.0,77.0
36,155750.0,1159.0,0.254321813583374,1.0,2.0,41.0
37,269050.0,2292.0,0.254321813583374,1.0,2.0,41.0
38,382250.0,3424.0,0.254321813583374,1.0,2.0,41.0
39,495550.0,4557.0,0.254321813583374,1.0,2.0,41.0
40,608850.0,5690.0,0.254321813583374,1.0,2.0,41.0
41,722050.0,6822.0,0.254321813583374,1.0,2.0,41.0
42,2150.0,230.0,0.2603180408477783,2.0,0.0,41.0
43,121750.0,1430.0,0.2603180408477783,2.0,0.0,33.0
44,241750.0,2630.0,0.2603180408477783,2.0,0.0,33.0
