,Cost,Redundant,Time(sec),sample,scenario,z
0,345.0,636.0,0.531207799911499,0.0,0.0,69.0
1,8345.0,716.0,0.531207799911499,0.0,0.0,69.0
2,16345.0,796.0,0.531207799911499,0.0,0.0,69.0
3,24345.0,876.0,0.531207799911499,0.0,0.0,69.0
4,32345.0,956.0,0.531207799911499,0.0,0.0,69.0
5,40345.0,1036.0,0.531207799911499,0.0,0.0,69.0
6,48345.0,1116.0,0.531207799911499,0.0,0.0,69.0
7,345.0,496.0,0.531207799911499,0.0,1.0,69.0
8,8345.0,576.0,0.531207799911499,0.0,1.0,69.0
9,16345.0,656.0,0.531207799911499,0.0,1.0,69.0
10,24345.0,736.0,0.531207799911499,0.0,1.0,69.0
11,32345.0,816.0,0.531207799911499,0.0,1.0,69.0
12,40345.0,896.0,0.531207799911499,0.0,1.0,69.0
13,48345.0,976.0,0.531207799911499,0.0,1.0,69.0
14,5065.0,15.0,0.531207799911499,0.0,2.0,93.0
15,12245.0,88.0,0.531207799911499,0.0,2.0,69.0
16,19445.0,160.0,0.531207799911499,0.0,2.0,69.0
17,26645.0,232.0,0.531207799911499,0.0,2.0,69.0
18,33945.0,305.0,0.531207799911499,0.0,2.0,69.0
19,41145.0,377.0,0.531207799911499,0.0,2.0,69.0
20,48345.0,449.0,0.531207799911499,0.0,2.0,69.0
21,80.0,617.0,0.48425984382629395,1.0,0.0,16.0
22,8080.0,697.0,0.48425984382629395,1.0,0.0,16.0
23,16080.0,777.0,0.48425984382629395,1.0,0.0,16.0
24,24080.0,857.0,0.48425984382629395,1.0,0.0,16.0
25,32080.0,937.0,0.48425984382629395,1.0,0.0,16.0
26,40080.0,1017.0,0.48425984382629395,1.0,0.0,16.0
27,48080.0,1097.0,0.48425984382629395,1.0,0.0,16.0
28,290.0,209.0,0.48425984382629395,1.0,1.0,18.0
29,8280.0,289.0,0.48425984382629395,1.0,1.0,16.0
30,16280.0,369.0,0.48425984382629395,1.0,1.0,16.0
31,24180.0,448.0,0.48425984382629395,1.0,1.0,16.0
32,32180.0,528.0,0.48425984382629395,1.0,1.0,16.0
33,40180.0,608.0,0.48425984382629395,1.0,1.0,16.0
34,48080.0,687.0,0.48425984382629395,1.0,1.0,16.0
35,180.0,295.0,0.48425984382629395,1.0,2.0,36.0
36,8080.0,375.0,0.48425984382629395,1.0,2.0,16.0
37,16080.0,455.0,0.48425984382629395,1.0,2.0,16.0
38,24080.0,535.0,0.48425984382629395,1.0,2.0,16.0
39,32080.0,615.0,0.48425984382629395,1.0,2.0,16.0
40,40080.0,695.0,0.48425984382629395,1.0,2.0,16.0
41,48080.0,775.0,0.48425984382629395,1.0,2.0,16.0
42,80.0,361.0,0.5936098098754883,2.0,0.0,16.0
43,8080.0,441.0,0.5936098098754883,2.0,0.0,16.0
44,16080.0,521.0,0.5936098098754883,2.0,0.0,16.0
45,24080.0,601.0,0.5936098098754883,2.0,0.0,16.0
46,32080.0,681.0,0.5936098098754883,2.0,0.0,16.0
47,40080.0,761.0,0.5936098098754883,2.0,0.0,16.0
48,48080.0,841.0,0.5936098098754883,2.0,0.0,16.0
49,440.0,70.0,0.5936098098754883,2.0,1.0,28.0
50,8380.0,150.0,0.5936098098754883,2.0,1.0,16.0
51,16280.0,229.0,0.5936098098754883,2.0,1.0,16.0
52,24280.0,309.0,0.5936098098754883,2.0,1.0,16.0
53,32180.0,388.0,0.5936098098754883,2.0,1.0,16.0
54,40180.0,468.0,0.5936098098754883,2.0,1.0,16.0
55,48080.0,547.0,0.5936098098754883,2.0,1.0,16.0
56,410.0,217.0,0.5936098098754883,2.0,2.0,62.0
57,8180.0,297.0,0.5936098098754883,2.0,2.0,16.0
58,16180.0,377.0,0.5936098098754883,2.0,2.0,16.0
59,24180.0,457.0,0.5936098098754883,2.0,2.0,16.0
